date,unrate,claimrate,cclaimrate,cunrate,labforce,initclaims_1wdelay,contclaims_1wdelay,initclaims,contclaims,totclaims,totclaims_1wdelay,claimrate_1wdelay,cclaimrate_1wdelay,cclaimrate2,cclaimrate_1wdelay2,cunrate_1cclaimrate_1wdelay
01jun1977,7.1999998,3.0213349,-.045887709,.19999981,99093,365000,2616000,359000,2622000,2981000,2981000,3.0213349,-.051989555,.0021056817,.0027029139,.010397901
01jul1977,6.9000001,2.9840655,-.037269354,-.29999971,98913,365000,2584000,366000,2591000,2957000,2949000,2.9759922,-.045342684,.0013890048,.0020559591,-.0090685282
01aug1977,7,3.0097156,.025650024,.099999905,99366,367000,2612000,359000,2618000,2977000,2979000,3.0117376,.035745382,.00065792375,.0012777323,-.010723605
01sep1977,6.8000002,2.9859309,-.023784637,-.19999981,99453,380000,2581000,362000,2605000,2967000,2961000,2.9798925,-.031845093,.00056570896,.0010141099,-.0031845062
01oct1977,6.8000002,2.9491317,-.036799192,0,99815,375000,2561000,358000,2575000,2933000,2936000,2.9521482,-.027744293,.0013541805,.00076974579,.0055488534
01nov1977,6.8000002,2.9314232,-.01770854,0,100576,360000,2527000,334000,2592000,2926000,2887000,2.8923509,-.059797287,.00031359238,.0035757155,0
01dec1977,6.4000001,2.9002943,-.031128883,-.4000001,100491,344000,2482000,359000,2558000,2917000,2826000,2.8098154,-.082535505,.00096900738,.0068121096,0
01jan1978,6.4000001,2.7475097,-.15278459,0,100873,352000,2522000,343000,2418000,2761000,2874000,2.8599577,.050142288,.023343129,.0025142492,-.02005692
01feb1978,6.3000002,2.9482617,.20075202,-.099999905,100837,371000,2553000,429000,2545000,2974000,2924000,2.8986945,.03873682,.040301375,.0015005412,0
01mar1978,6.3000002,2.7946091,-.15365267,0,101092,335000,2473000,347000,2471000,2818000,2808000,2.784692,-.11400247,.023609143,.012996563,.011400236
01apr1978,6.0999999,2.6193962,-.17521286,-.20000029,101574,319000,2287000,309000,2339000,2648000,2606000,2.5778499,-.20684218,.030699546,.042783689,0
01may1978,6,2.5134385,-.10595775,-.099999905,101896,334000,2238000,322000,2231000,2553000,2572000,2.5321441,-.045705795,.011227044,.0020890196,.0091411723
01jun1978,5.9000001,2.5035331,-.0099053383,-.099999905,102371,330000,2249000,326000,2225000,2551000,2579000,2.5310121,-.0011320114,.000098115728,1.2814498e-06,.00011320104
01jul1978,6.1999998,2.617929,.11439586,.29999971,102399,349000,2321000,352000,2328000,2680000,2670000,2.6081605,.077148438,.013086412,.0059518814,-.0077148364
01aug1978,5.9000001,2.710964,.093034983,-.29999971,102511,343000,2405000,354000,2422000,2776000,2748000,2.68362,.07545948,.008655508,.0056941332,.022637822
01sep1978,6,2.5294847,-.18147922,.099999905,102795,323000,2247000,322000,2271000,2593000,2570000,2.5070481,-.17657185,.032934707,.031177618,.052971505
01oct1978,5.8000002,2.5195777,-.0099070072,-.19999981,103080,338000,2207000,316000,2274000,2590000,2545000,2.4758015,-.031246662,.00009814879,.00097635388,-.0031246631
01nov1978,5.9000001,2.4253008,-.094276905,.099999905,103562,359000,2349000,342000,2158000,2500000,2708000,2.6270857,.15128422,.0088881347,.022886915,-.030256815
01dec1978,6,2.5829937,.15769291,.099999905,103809,352000,2276000,347000,2328000,2675000,2628000,2.5376103,-.089475393,.024867054,.0080058463,-.0089475308
01jan1979,5.9000001,2.6587291,.075735331,-.099999905,104057,337000,2403000,392000,2368000,2760000,2740000,2.6394629,.10185266,.0057358402,.010373963,.010185256
01feb1979,5.9000001,2.6427822,-.015946865,0,104502,360000,2451000,367000,2383000,2750000,2811000,2.7014041,.061941147,.00025430252,.0038367056,-.0061941086
01mar1979,5.8000002,2.6181316,-.024650574,-.099999905,104589,353000,2353000,359000,2377000,2736000,2706000,2.5894241,-.11197996,.00060765079,.012539512,0
01apr1979,5.8000002,2.7957051,.17757344,0,104172,383000,2408000,457000,2467000,2924000,2791000,2.6685407,.079116583,.031532329,.0062594335,-.0079116505
01may1979,5.5999999,2.5006719,-.29503322,-.20000029,104171,346000,2238000,344000,2261000,2605000,2584000,2.4805131,-.18802762,.087044597,.035354387,0
01jun1979,5.6999998,2.4814968,-.019175053,.099999905,104638,379000,2275000,351000,2234000,2585000,2654000,2.547734,.067220926,.00036768263,.0045186528,-.013444205
01jul1979,5.6999998,2.6032608,.12176394,0,105002,395000,2335000,368000,2356000,2724000,2730000,2.6089947,.0612607,.014826458,.0037528733,.0061260643
01aug1979,6,2.72471,.12144923,.30000019,105096,390000,2471000,387000,2474000,2861000,2861000,2.72471,.11571527,.014749916,.013390022,0
01sep1979,5.9000001,2.6785035,-.046206474,-.099999905,105530,388000,2404000,384000,2431000,2815000,2792000,2.6566186,-.068091393,.0021350384,.0046364376,-.02042743
01oct1979,6,2.7745664,.096062899,.099999905,105700,406000,2475000,393000,2535000,2928000,2881000,2.7300293,.073410749,.0092280805,.0053891381,-.0073410678
01nov1979,5.9000001,2.9195838,.14501739,-.099999905,105812,414000,2648000,430000,2656000,3086000,3062000,2.896878,.16684866,.021030042,.027838476,.016684851
01dec1979,6,2.9514611,.031877279,.099999905,106258,471000,2674000,411000,2712000,3123000,3145000,2.9722526,.075374603,.0010161609,.0056813308,-.007537453
01jan1980,6.3000002,2.9955392,.044078112,.30000019,106562,446000,2783000,405000,2778000,3183000,3229000,3.03883,.066577435,.0019428799,.0044325548,.0066577373
01feb1980,6.3000002,3.0892813,.093742132,0,106697,428000,2866000,415000,2877000,3292000,3294000,3.0911582,.05232811,.0087875873,.0027382311,.015698442
01mar1980,6.3000002,3.1116152,.02233386,0,106442,435000,2921000,432000,2888000,3320000,3356000,3.1453555,.054197311,.0004988013,.0029373486,0
01apr1980,6.9000001,3.4093685,.29775333,.5999999,106591,548000,3188000,544000,3085000,3629000,3736000,3.5098927,.36453724,.088657051,.13288739,0
01may1980,7.5,3.9271607,.51779222,.5999999,106929,627000,3698000,642000,3544000,4186000,4325000,4.0575657,.54767299,.26810879,.29994571,.32860374
01jun1980,7.5999999,4.087759,.16059828,.099999905,106780,599000,3858000,592000,3779000,4371000,4457000,4.1681862,.1106205,.025791807,.012236895,.06637229
01jul1980,7.8000002,4.0915904,.0038313866,.20000029,107159,567000,3872000,533000,3836000,4369000,4439000,4.1571455,-.011040688,.000014679523,.00012189678,-.0011040677
01aug1980,7.6999998,4.0481901,-.043400288,-.10000038,107105,512000,3754000,525000,3813000,4338000,4266000,3.9810002,-.17614532,.001883585,.031027172,-.035229113
01sep1980,7.5,3.9129827,-.13520741,-.19999981,107098,465000,3698000,492000,3699000,4191000,4163000,3.8868401,-.09416008,.018281044,.0088661211,.0094160438
01oct1980,7.5,3.6433921,-.26959062,0,107405,418000,3527000,425000,3477000,3902000,3945000,3.6835423,-.20329785,.072679102,.041330017,.040659532
01nov1980,7.5,3.432801,-.21059108,0,107568,398000,3303000,427000,3260000,3687000,3701000,3.4458358,-.23770642,.044348601,.056504343,0
01dec1980,7.1999998,3.2890823,-.14371872,-.30000019,107352,412000,3056000,413000,3125000,3538000,3468000,3.2240071,-.2218287,.02065507,.04920797,0
01jan1981,7.5,3.2081378,-.080944538,.30000019,108026,396000,2988000,421000,3023000,3444000,3384000,3.1522467,-.071760416,.0065520182,.0051495573,.021528138
01feb1981,7.4000001,3.2084868,.0003490448,-.099999905,108242,438000,3023000,423000,3043000,3466000,3461000,3.2038584,.051611662,1.2183227e-07,.0026637637,.015483509
01mar1981,7.4000001,3.0607343,-.14775252,0,108553,401000,2885000,408000,2905000,3313000,3286000,3.0357902,-.16806817,.021830808,.028246909,.016806802
01apr1981,7.1999998,2.9957716,-.064962626,-.20000029,108925,436000,2893000,392000,2860000,3252000,3329000,3.0667048,.030914545,.0042201425,.00095570908,0
01may1981,7.5,3.0103283,.014556646,.30000019,109222,415000,2862000,414000,2865000,3279000,3277000,3.008492,-.058212757,.00021189595,.003388725,.011642568
01jun1981,7.5,3.0140448,.0037164688,0,108396,435000,2886000,425000,2867000,3292000,3321000,3.0405962,.032104254,.00001381214,.0010306832,.0096312826
01jul1981,7.1999998,3.0739141,.059869289,-.30000019,108556,407000,2899000,430000,2902000,3332000,3306000,3.0499279,.0093317032,.0035843318,.000087080683,0
01aug1981,7.4000001,3.1393936,.065479517,.20000029,108725,434000,2957000,442000,2966000,3408000,3391000,3.1237333,.073805332,.004287567,.005447227,-.022141613
01sep1981,7.5999999,3.2237296,.084336042,.19999981,108294,475000,3014000,454000,3051000,3505000,3489000,3.2090135,.08528018,.0071125682,.0072727092,.017056061
01oct1981,7.9000001,3.3159733,.092243671,.30000019,109024,483000,3181000,487000,3104000,3591000,3664000,3.3833823,.17436886,.0085088946,.030404499,.034873739
01nov1981,8.3000002,3.4928088,.17683554,.4000001,109236,464000,3416000,517000,3291000,3808000,3880000,3.5588493,.17546701,.031270806,.030788673,.052640136
01dec1981,8.5,3.6141932,.12138438,.19999981,108912,539000,3551000,551000,3397000,3948000,4090000,3.7441869,.18533754,.014734169,.034350004,.074135035
01jan1982,8.6000004,3.7764435,.16225028,.10000038,109089,564000,3602000,489000,3624000,4113000,4166000,3.8251066,.080919743,.026325153,.0065480047,.016183933
01feb1982,8.8999996,3.6639807,-.11246276,.29999924,109467,544000,3562000,507000,3490000,3997000,4106000,3.7638991,-.061207533,.012647872,.0037463622,-.0061207768
01mar1982,9,3.7856157,.12163496,.10000038,109567,557000,3684000,539000,3605000,4144000,4241000,3.874227,.11032796,.014795064,.012172258,.033098303
01apr1982,9.3000002,4.1654878,.37987208,.30000019,109820,588000,3930000,597000,3967000,4564000,4518000,4.1235042,.24927711,.1443028,.062139079,.024927806
01may1982,9.3999996,4.145875,-.019612789,.099999428,110451,586000,4103000,585000,3968000,4553000,4689000,4.2697139,.14620972,.00038466149,.02137728,.043862943
01jun1982,9.6000004,4.2869687,.14109373,.20000076,110081,591000,4105000,614000,4121000,4735000,4696000,4.2516589,-.018054962,.019907441,.00032598164,-.0018054859
01jul1982,9.8000002,4.2832098,-.0037589073,.19999981,110342,536000,4155000,567000,4148000,4715000,4691000,4.2614074,.0097484589,.000014129384,.000095032447,.0019496992
01aug1982,9.8000002,4.4144568,.13124704,0,110514,628000,4300000,637000,4234000,4871000,4928000,4.4661145,.20470715,.017225787,.041905016,.040941391
01sep1982,10.1,4.6582332,.24377632,.30000019,110721,671000,4542000,680000,4468000,5148000,5213000,4.7170496,.25093508,.059426896,.062968411,0
01oct1982,10.4,4.7461638,.087930679,.29999924,110744,623000,4686000,656000,4599000,5255000,5309000,4.7949352,.077885628,.0077318042,.006066171,.023365702
01nov1982,10.8,4.6530738,-.093090057,.40000057,111050,577000,4695000,599000,4554000,5153000,5272000,4.7605286,-.034406662,.0086657591,.0011838184,-.010321972
01dec1982,10.8,4.4007206,-.25235319,0,111083,489000,4381000,516000,4371000,4887000,4870000,4.3854117,-.37511683,.063682131,.14071263,-.15004694
01jan1983,10.4,3.9871087,-.41361189,-.40000057,110695,479000,3860000,479000,3950000,4429000,4339000,3.9060884,-.47932339,.17107479,.22975092,0
01feb1983,10.4,3.9306202,-.056488514,0,110634,487000,3819000,486000,3865000,4351000,4306000,3.8899679,-.016120434,.0031909521,.00025986839,.0064481827
01mar1983,10.3,3.8523419,-.078278303,-.099999428,110587,470000,3752000,475000,3787000,4262000,4222000,3.8161867,-.073781252,.0061274925,.0054436731,0
01apr1983,10.2,3.8512664,-.0010755062,-.10000038,110828,488000,3762000,515000,3744000,4259000,4250000,3.843128,.026941299,1.1567136e-06,.00072583364,-.0026941146
01may1983,10.1,3.6895008,-.16176558,-.099999428,110796,460000,3701000,464000,3625000,4089000,4161000,3.7544663,-.088661671,.026168101,.0078608915,.0088662012
01jun1983,10.1,3.5073469,-.18215394,0,111879,442000,3369000,434000,3452000,3886000,3811000,3.4396548,-.31481147,.033180058,.09910626,.031480968
01jul1983,9.3999996,3.228488,-.2788589,-.70000076,111756,395000,3155000,396000,3216000,3612000,3550000,3.1730709,-.26658392,.077762283,.071066983,0
01aug1983,9.5,3.1890905,-.039397478,.10000038,112231,445000,3131000,457000,3107000,3564000,3576000,3.1998281,.02675724,.0015521613,.00071594992,-.018730089
01sep1983,9.1999998,3.027684,-.16140652,-.30000019,112298,416000,2973000,405000,2993000,3398000,3389000,3.0196648,-.18016338,.026052063,.032458846,-.018016407
01oct1983,8.8000002,2.9448433,-.082840681,-.39999962,111926,394000,2886000,394000,2913000,3307000,3280000,2.9208,-.098864794,.0068625784,.0097742472,.029659458
01nov1983,8.5,2.8402696,-.10457373,-.30000019,112228,387000,2879000,390000,2789000,3179000,3266000,2.9179995,-.0028004646,.010935664,7.8426019e-06,.0011201848
01dec1983,8.3000002,2.8139145,-.026355028,-.19999981,112327,377000,2718000,362000,2796000,3158000,3095000,2.7577789,-.16022062,.00069458754,.025670648,.048066217
01jan1984,8,2.5577109,-.25620365,-.30000019,112209,333000,2531000,351000,2522000,2873000,2864000,2.5496986,-.20808029,.065640308,.043297406,.041616019
01feb1984,7.8000002,2.4588046,-.098906279,-.19999981,112615,343000,2469000,334000,2425000,2759000,2812000,2.506038,-.043660641,.0097824521,.0019062515,.013098201
01mar1984,7.8000002,2.4641478,.0053431988,0,112713,346000,2412000,349000,2426000,2775000,2758000,2.4490521,-.056985855,.000028549774,.0032473877,.011397161
01apr1984,7.6999998,2.4424868,-.021661043,-.10000038,113098,364000,2433000,357000,2396000,2753000,2797000,2.4815238,.032471657,.00046920078,.0010544085,0
01may1984,7.4000001,2.4350562,-.0074305534,-.29999971,113649,354000,2401000,368000,2386000,2754000,2755000,2.4359405,-.045583248,.000055213124,.0020778326,.004558342
01jun1984,7.1999998,2.3977334,-.03732276,-.20000029,113817,362000,2339000,361000,2364000,2725000,2701000,2.3766158,-.059324741,.0013929884,.0035194249,.017797405
01jul1984,7.5,2.3994658,.0017323494,.30000019,113972,357000,2337000,360000,2371000,2731000,2694000,2.3669574,-.0096583366,3.0010344e-06,.000093283466,.0019316701
01aug1984,7.5,2.4716597,.072193861,0,113682,395000,2405000,401000,2416000,2817000,2800000,2.4567437,.089786291,.0052119535,.0080615785,.026935905
01sep1984,7.3000002,2.4867613,.015101671,-.19999981,113857,395000,2421000,393000,2434000,2827000,2816000,2.4770851,.020341396,.00022806047,.00041377242,0
01oct1984,7.4000001,2.5892129,.10245156,.099999905,114019,439000,2529000,410000,2538000,2948000,2968000,2.6067786,.12969351,.010496323,.016820407,-.025938677
01nov1984,7.1999998,2.6556978,.066484928,-.20000029,114170,429000,2569000,383000,2645000,3028000,2998000,2.6293864,.022607803,.0044202455,.0005111128,.0022607781
01dec1984,7.3000002,2.6101427,-.045555115,.10000038,114581,379000,2487000,386000,2594000,2980000,2866000,2.5102916,-.11909485,.0020752684,.014183583,.023819003
01jan1985,7.3000002,2.557143,-.052999735,0,114725,359000,2472000,387000,2543000,2930000,2831000,2.4707413,-.039550304,.0028089718,.0015642266,-.0039550457
01feb1985,7.1999998,2.6175637,.060420752,-.10000038,114876,390000,2641000,390000,2613000,3003000,3031000,2.6419699,.17122865,.0036506671,.029319249,0
01mar1985,7.1999998,2.5801735,-.037390232,0,115328,373000,2556000,386000,2578000,2964000,2929000,2.5497057,-.092264175,.0013980295,.0085126776,.0092264526
01apr1985,7.3000002,2.6108143,.030640841,.10000038,115331,391000,2584000,411000,2600000,3011000,2975000,2.5795991,.029893398,.00093886111,.00089361524,0
01may1985,7.1999998,2.5474503,-.063364029,-.10000038,115234,396000,2545000,391000,2547000,2938000,2941000,2.5500517,-.029547453,.0040150001,.00087305199,-.0029547566
01jun1985,7.4000001,2.5504625,.0030121803,.20000029,114965,386000,2550000,390000,2549000,2939000,2936000,2.5478592,-.0021924973,9.0732301e-06,4.8070442e-06,.00021925056
01jul1985,7.4000001,2.5268559,-.023606539,0,115320,370000,2520000,386000,2519000,2905000,2890000,2.5138085,-.034050703,.00055726868,.0011594504,-.0068101506
01aug1985,7.0999999,2.5780437,.051187754,-.30000019,115291,405000,2561000,399000,2574000,2973000,2966000,2.5719736,.058165073,.0026201862,.0033831757,0
